X,Y,Z,Name,id,alt_name,latitude,longitude,name2
109.0069,-7.7278,0,KABUPATEN CILACAP,3301,KABUPATEN CILACAP,"-7.7278",109.0069,KABUPATEN CILACAP
109.1834,-7.4523,0,KABUPATEN BANYUMAS,3302,KABUPATEN BANYUMAS,"-7.4523",109.1834,KABUPATEN BANYUMAS
109.3639,-7.3184,0,KABUPATEN PURBALINGGA,3303,KABUPATEN PURBALINGGA,"-7.3184",109.3639,KABUPATEN PURBALINGGA
109.6167,-7.3917,0,KABUPATEN BANJARNEGARA,3304,KABUPATEN BANJARNEGARA,"-7.3917",109.6167,KABUPATEN BANJARNEGARA
109.6542,-7.6434,0,KABUPATEN KEBUMEN,3305,KABUPATEN KEBUMEN,"-7.6434",109.6542,KABUPATEN KEBUMEN
109.988,-7.7471,0,KABUPATEN PURWOREJO,3306,KABUPATEN PURWOREJO,"-7.7471",109.988,KABUPATEN PURWOREJO
109.9077,-7.3601,0,KABUPATEN WONOSOBO,3307,KABUPATEN WONOSOBO,"-7.3601",109.9077,KABUPATEN WONOSOBO
110.2014,-7.4571,0,KABUPATEN MAGELANG,3308,KABUPATEN MAGELANG,"-7.4571",110.2014,KABUPATEN MAGELANG
110.6621,-7.502,0,KABUPATEN BOYOLALI,3309,KABUPATEN BOYOLALI,"-7.5020",110.6621,KABUPATEN BOYOLALI
110.612,-7.7011,0,KABUPATEN KLATEN,3310,KABUPATEN KLATEN,"-7.7011",110.612,KABUPATEN KLATEN
110.8354,-7.6791,0,KABUPATEN SUKOHARJO,3311,KABUPATEN SUKOHARJO,"-7.6791",110.8354,KABUPATEN SUKOHARJO
110.92056,-7.81444,0,KABUPATEN WONOGIRI,3312,KABUPATEN WONOGIRI,-7.81444 ,110.92056,KABUPATEN WONOGIRI
110.9994,-7.6186,0,KABUPATEN KARANGANYAR,3313,KABUPATEN KARANGANYAR,"-7.6186",110.9994,KABUPATEN KARANGANYAR
110.935,-7.41278,0,KABUPATEN SRAGEN,3314,KABUPATEN SRAGEN,-7.41278000 ,110.935,KABUPATEN SRAGEN
110.901,-7.1001,0,KABUPATEN GROBOGAN,3315,KABUPATEN GROBOGAN,"-7.1001",110.901,KABUPATEN GROBOGAN
111.411,-7.031,0,KABUPATEN BLORA,3316,KABUPATEN BLORA,"-7.0310",111.411,KABUPATEN BLORA
111.391,-6.741,0,KABUPATEN REMBANG,3317,KABUPATEN REMBANG,"-6.7410",111.391,KABUPATEN REMBANG
111.031,-6.741,0,KABUPATEN PATI,3318,KABUPATEN PATI,"-6.7410",111.031,KABUPATEN PATI
110.841,-6.811,0,KABUPATEN KUDUS,3319,KABUPATEN KUDUS,"-6.8110",110.841,KABUPATEN KUDUS
110.741,-6.591,0,KABUPATEN JEPARA,3320,KABUPATEN JEPARA,"-6.5910",110.741,KABUPATEN JEPARA
110.631,-6.891,0,KABUPATEN DEMAK,3321,KABUPATEN DEMAK,"-6.8910",110.631,KABUPATEN DEMAK
110.421,-7.191,0,KABUPATEN SEMARANG,3322,KABUPATEN SEMARANG,"-7.1910",110.421,KABUPATEN SEMARANG
110.1674795,-7.3209375,0,KABUPATEN TEMANGGUNG,3323,KABUPATEN TEMANGGUNG,"-7.3209375",110.1674795,KABUPATEN TEMANGGUNG
110.151,-7.011,0,KABUPATEN KENDAL,3324,KABUPATEN KENDAL,"-7.0110",110.151,KABUPATEN KENDAL
109.891,-7.021,0,KABUPATEN BATANG,3325,KABUPATEN BATANG,"-7.0210",109.891,KABUPATEN BATANG
109.581,-7.031,0,KABUPATEN PEKALONGAN,3326,KABUPATEN PEKALONGAN,"-7.0310",109.581,KABUPATEN PEKALONGAN
109.391,-7.031,0,KABUPATEN PEMALANG,3327,KABUPATEN PEMALANG,"-7.0310",109.391,KABUPATEN PEMALANG
109.151,-7.081,0,KABUPATEN TEGAL,3328,KABUPATEN TEGAL,"-7.0810",109.151,KABUPATEN TEGAL
108.891,-7.091,0,KABUPATEN BREBES,3329,KABUPATEN BREBES,"-7.0910",108.891,KABUPATEN BREBES
110.221,-7.471,0,KOTA MAGELANG,3371,KOTA MAGELANG,"-7.4710",110.221,KOTA MAGELANG
110.821,-7.561,0,KOTA SURAKARTA,3372,KOTA SURAKARTA,"-7.5610",110.821,KOTA SURAKARTA
110.491,-7.331,0,KOTA SALATIGA,3373,KOTA SALATIGA,"-7.3310",110.491,KOTA SALATIGA
110.421,-6.991,0,KOTA SEMARANG,3374,KOTA SEMARANG,"-6.9910",110.421,KOTA SEMARANG
109.671,-6.891,0,KOTA PEKALONGAN,3375,KOTA PEKALONGAN,"-6.8910",109.671,KOTA PEKALONGAN
109.121,-6.861,0,KOTA TEGAL,3376,KOTA TEGAL,"-6.8610",109.121,KOTA TEGAL
